Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation (high resolution)  [sfc];Total Precipitation (low resolution)  [sfc];Snowfall Amount (high resolution)  [sfc];Snowfall Amount (low resolution)  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2019;12;19;18;00;10.56;66.00;1011.30;0.00;0.00;0.00;0.00;6.30;21.00;0.00;0.00;51.85;40.05;2.62;74.05;4.32;90.00;32.55;209.12;3.60
2019;12;19;19;00;9.80;73.00;1010.10;0.00;0.00;0.00;0.00;100.00;100.00;100.00;0.00;0.00;0.00;6.16;83.29;9.83;98.43;29.22;202.46;11.52
2019;12;19;20;00;9.10;81.00;1010.30;0.00;0.00;0.00;0.00;100.00;100.00;100.00;100.00;0.00;0.00;4.02;10.30;4.68;90.00;28.58;199.12;7.56
2019;12;19;21;00;9.21;77.00;1009.50;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;5.15;335.22;2.90;29.74;33.49;206.84;16.92
2019;12;19;22;00;8.58;77.00;1009.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.49;266.82;5.50;238.39;41.34;213.27;11.52
2019;12;19;23;00;7.55;81.00;1009.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.10;254.74;3.83;228.81;36.87;206.06;15.48
2019;12;20;00;00;6.74;82.00;1009.10;0.00;0.00;0.00;0.00;0.30;1.00;0.00;0.00;0.00;0.00;5.00;239.74;5.09;261.87;40.11;201.04;16.56
2019;12;20;01;00;5.91;85.00;1007.50;0.00;0.00;0.00;0.00;33.00;100.00;33.00;0.00;0.00;0.00;1.48;255.96;3.40;122.01;47.76;189.11;12.60
2019;12;20;02;00;5.63;89.00;1006.10;0.00;0.00;0.00;0.00;100.00;100.00;100.00;0.00;0.00;0.00;5.90;307.57;1.08;270.00;40.33;181.02;27.00
2019;12;20;03;00;5.86;80.00;1005.50;0.00;0.00;0.00;0.00;36.00;40.00;7.00;36.00;0.00;0.00;7.59;275.44;8.71;262.87;41.67;189.95;34.56
2019;12;20;04;00;5.52;79.00;1004.00;0.00;0.00;0.00;0.00;0.90;3.00;0.00;0.00;0.00;0.00;3.62;275.71;4.45;255.96;46.95;191.05;33.12
2019;12;20;05;00;5.35;80.00;1002.00;0.00;0.00;0.00;0.00;100.00;60.00;8.00;100.00;0.00;0.00;6.12;298.07;6.49;289.44;47.03;185.71;34.92
2019;12;20;06;00;5.79;79.00;1002.10;0.00;0.00;0.00;0.00;100.00;100.00;70.00;100.00;0.00;0.00;5.05;274.09;5.09;261.87;55.78;186.30;34.56
2019;12;20;07;00;5.98;80.00;1000.70;0.00;0.00;0.00;0.00;100.00;100.00;42.00;100.00;0.00;0.00;6.49;273.18;7.24;264.29;55.29;190.51;37.08
2019;12;20;08;00;9.51;61.00;998.40;0.00;0.00;0.00;0.00;100.00;100.00;44.00;100.00;0.00;0.00;7.59;238.57;10.50;210.96;61.21;190.85;42.48
2019;12;20;09;00;12.36;50.00;997.10;0.00;0.00;0.00;0.00;100.00;100.00;100.00;100.00;0.00;0.00;15.14;205.35;29.17;192.84;70.20;190.04;51.12
2019;12;20;10;00;11.52;60.00;995.30;0.00;0.00;0.00;0.00;100.00;29.00;100.00;100.00;0.00;17.80;12.18;214.16;20.86;201.25;68.48;188.77;45.72
2019;12;20;11;00;12.34;60.00;995.00;0.00;0.00;0.00;0.00;100.00;100.00;100.00;100.00;0.00;65.86;25.10;188.25;35.11;185.89;75.00;188.56;51.12
