Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation (high resolution)  [sfc];Total Precipitation (low resolution)  [sfc];Snowfall Amount (high resolution)  [sfc];Snowfall Amount (low resolution)  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2020;02;27;21;00;2.76;82.00;1013.60;0.00;0.80;0.00;0.00;6.00;0.00;0.00;6.00;0.00;0.00;19.65;298.44;29.08;301.33;54.29;312.04;33.48
2020;02;27;22;00;2.18;84.00;1015.70;0.00;0.00;0.00;0.00;6.00;0.00;0.00;6.00;0.00;0.00;15.60;288.85;24.15;296.57;47.90;312.56;27.00
2020;02;27;23;00;0.88;87.00;1018.10;0.00;0.00;0.00;0.00;2.00;0.00;0.00;2.00;0.00;0.00;15.88;302.97;24.52;310.24;43.07;321.79;30.60
2020;02;28;00;00;0.53;83.00;1019.30;0.00;0.00;0.00;0.00;2.00;0.00;0.00;2.00;0.00;0.00;13.36;297.26;21.60;306.87;42.56;324.29;30.96
2020;02;28;01;00;0.06;88.00;1020.30;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;12.24;270.00;16.62;287.65;33.66;327.67;20.88
2020;02;28;02;00;-0.57;96.00;1021.50;0.00;0.00;0.00;0.00;12.00;0.00;0.00;12.00;0.00;0.00;4.68;247.38;6.16;263.29;12.90;329.86;14.76
2020;02;28;03;00;0.72;87.00;1021.50;0.00;0.00;0.00;0.00;5.00;0.00;0.00;5.00;0.00;0.00;7.42;194.04;7.73;207.76;14.06;357.06;9.72
2020;02;28;04;00;0.61;84.00;1021.80;0.00;0.00;0.00;0.00;4.00;0.00;0.00;4.00;0.00;0.00;6.21;190.01;6.64;192.53;11.89;1.74;9.72
2020;02;28;05;00;0.19;86.00;1022.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.55;198.43;3.76;196.70;5.62;39.81;7.20
2020;02;28;06;00;0.11;85.00;1023.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.72;270.00;0.51;315.00;9.06;96.84;0.72
